sep=	
whiteAverageNodes	blackAverageNodes	whiteAverageTime	blackAverageTime	whiteMaxDepth	blackMaxDepth	whiteAccessor	blackAccessor	winner
134,88	13088,29	0,0	0,1	4	7	SimpleAccessor	SimpleAccessor	BLACK
271,12	42951,47	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	null
248,91	34106,73	0,0	0,17	4	7	SimpleAccessor	SimpleAccessor	BLACK
238,17	29179,53	0,0	0,14	4	7	SimpleAccessor	SimpleAccessor	BLACK
220,5	26389,52	0,0	0,13	4	7	SimpleAccessor	SimpleAccessor	BLACK
210,08	25383,27	0,0	0,12	4	7	SimpleAccessor	SimpleAccessor	BLACK
211,54	25588,17	0,0	0,12	4	7	SimpleAccessor	SimpleAccessor	BLACK
216,73	26705,44	0,0	0,13	4	7	SimpleAccessor	SimpleAccessor	WHITE
209,6	25935,61	0,0	0,12	4	7	SimpleAccessor	SimpleAccessor	BLACK
213,66	28448,74	0,0	0,14	4	7	SimpleAccessor	SimpleAccessor	BLACK
223,73	54427,07	0,0	0,3	4	7	SimpleAccessor	SimpleAccessor	null
222,38	51676,81	0,0	0,28	4	7	SimpleAccessor	SimpleAccessor	BLACK
220,38	50644,17	0,0	0,27	4	7	SimpleAccessor	SimpleAccessor	BLACK
220,56	48572,78	0,0	0,26	4	7	SimpleAccessor	SimpleAccessor	BLACK
222,81	48080,44	0,0	0,26	4	7	SimpleAccessor	SimpleAccessor	BLACK
219,0	45667,32	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK
218,18	43700,86	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	WHITE
218,66	42673,91	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
217,08	41523,98	0,0	0,22	4	7	SimpleAccessor	SimpleAccessor	BLACK
213,5	40357,87	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	BLACK
211,02	39219,59	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	BLACK
214,58	39285,71	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	BLACK
212,45	38493,86	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
218,63	38524,42	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
216,93	37814,21	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
212,08	36390,05	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	BLACK
211,66	35721,68	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	WHITE
210,42	35173,51	0,0	0,18	4	7	SimpleAccessor	SimpleAccessor	BLACK
209,41	34708,36	0,0	0,18	4	7	SimpleAccessor	SimpleAccessor	BLACK
208,33	34351,49	0,0	0,18	4	7	SimpleAccessor	SimpleAccessor	BLACK
238,56	40131,02	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	null
236,69	39461,74	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
235,39	38807,29	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	BLACK
237,37	39239,63	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	BLACK
235,88	38687,04	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	BLACK
234,28	37909,14	0,0	0,19	4	7	SimpleAccessor	SimpleAccessor	BLACK
246,37	44101,92	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	null
244,53	43384,49	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	BLACK
241,59	42498,82	0,0	0,21	4	7	SimpleAccessor	SimpleAccessor	BLACK
241,21	41995,17	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
240,66	41358,96	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	WHITE
242,02	41868,26	0,0	0,2	4	7	SimpleAccessor	SimpleAccessor	BLACK
253,57	45062,89	0,0	0,22	4	7	SimpleAccessor	SimpleAccessor	null
257,03	49097,84	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK
254,34	48325,4	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK
253,29	47823,94	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
251,88	47262,02	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
251,11	46915,6	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
248,75	46314,73	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
251,29	48481,92	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	null
249,77	47919,88	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK
247,6	47323,33	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
247,24	47155,55	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
245,42	46174,79	0,0	0,23	4	7	SimpleAccessor	SimpleAccessor	BLACK
243,78	45510,71	0,0	0,22	4	7	SimpleAccessor	SimpleAccessor	BLACK
242,51	45214,42	0,0	0,22	4	7	SimpleAccessor	SimpleAccessor	BLACK
259,21	50655,01	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	null
257,92	49904,99	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	WHITE
256,99	49494,38	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK
256,05	49135,38	0,0	0,24	4	7	SimpleAccessor	SimpleAccessor	BLACK

